nomor_pohon,barcode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image1Caption,Image1Source,Image1SourceLink,Image2,Image2Caption,Image2Source,Image2SourceLink,Image3,Image4,chart_link
1244,1904A09SMLJ0000000000129428,Kulim,Scorodocarpus borneensis,Pohon Dewasa,icon/mature_tree.svg,Not Defined,42,50,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.130525181,116.8016739,48.36694615,3.13,Belum,-,-,Tarman,5/10/2021 11:54,200000,8200.42,-,"Chave et al, 2014",media/1633467187017.jpg,Caption,Source,SourceLink,media/1633467200589.jpg,Caption,Source,SourceLink,media/1633467218008.jpg,media/1633467237684.jpg,
1261,1904A09SMLJ0000000000129430,Meranti,Shorea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,40,48,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.132213937,116.8016753,36.07428643,3.12,Belum,-,-,Hari Yudistira,5/10/2021 11:57,200000,5561.71,-,"Chave et al, 2014",media/1633467358770.jpg,Caption,Source,SourceLink,media/1633467372559.jpg,Caption,Source,SourceLink,media/1633467393098.jpg,media/1633467420842.jpg,
1264,1904A09SMLJ0000000000129431,Kulim,Scorodocarpus borneensis,Pohon Dewasa,icon/mature_tree.svg,Not Defined,73,52,Hutan Adat Kesumbo Ampai,Mineral,Pulau Tilan,2.13237244,116.8017076,42.59619617,3.12,Belum,-,-,Anton,5/10/2021 12:02,200000,25065.96,-,"Chave et al, 2014",media/1633467682049.jpg,Caption,Source,SourceLink,media/1633467699651.jpg,Caption,Source,SourceLink,media/1633467728301.jpg,media/1633467747805.jpg,
1283,1904A09SMLJ0000000000129433,Putek,Barringtonia sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,47,31,"Hutan Lindung Pulau Tilan, Kep Rantau Bais",Mineral,Kesumbo Ampai,2.133614381,116.8017064,11.57105118,3.11,Belum,-,-,Ayu Diwandra,22/09/2021 16:40,200000,4393.97,-,"Brown, 1997",media/1632303593056.jpg,Caption,Source,SourceLink,media/1632303612940.jpg,Caption,Source,SourceLink,media/1632303635259.jpg,media/1632303647612.jpg,
1290,1904A09SMLJ0000000000129434,Petaling,Ochanostachys amentacea,Pohon Dewasa,icon/mature_tree.svg,Data Deficient,47,39,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.133516752,116.801925,30.35843987,3.12,Belum,-,-,Abu Bakar,4/10/2021 15:56,200000,8550.89,-,"Chave et al, 2014",media/1633337730626.jpg,Caption,Source,SourceLink,media/1633337746104.jpg,Caption,Source,SourceLink,media/1633337782839.jpg,media/1633337812723.jpg,
1298,1904A09SMLJ0000000000129435,Kulim,Scorodocarpus borneensis,Pohon Dewasa,icon/mature_tree.svg,Not Defined,55,40,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.13328456,116.8018392,46.73291322,3.08,Belum,-,-,Abu Bakar,5/10/2021 10:13,200000,11164.97,-,"Chave et al, 2014",media/1633403453822.jpg,Caption,Source,SourceLink,media/1633403468903.jpg,Caption,Source,SourceLink,media/1633403484692.jpg,media/1633403594079.jpg,
1352,1904A09SMLJ0000000000129437,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Conservation dependent,57,45,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.131023328,116.8018535,58.32284138,3.24,Belum,-,-,Abu Bakar,5/10/2021 10:18,200000,14767.84,-,"Chave et al, 2014",media/1633403823584.jpg,Caption,Source,SourceLink,media/1633403845071.jpg,Caption,Source,SourceLink,media/1633403871829.jpg,media/1633403916727.jpg,
1353,1904A09SMLJ0000000000129438,Kolek,Eugenia sp.,Pohon Dewasa,icon/mature_tree.svg,Least Concern,40,41,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.130941892,116.8017635,52.40690147,3.12,Belum,-,-,Abu Bakar,5/10/2021 10:24,200000,5781.43,-,"Chave et al, 2014",media/1633404197530.jpg,Caption,Source,SourceLink,media/1633404208832.jpg,Caption,Source,SourceLink,media/1633404227981.jpg,media/1633404276323.jpg,
1398,1904A09SMLJ0000000000129439,Setumpul,-,Pohon Dewasa,icon/mature_tree.svg,Not Defined,50,48,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.133214908,116.8020796,41.52480081,3.12,Belum,-,-,Abu Bakar,5/10/2021 10:29,200000,5138.59,-,"Brown, 1997",media/1633404493158.jpg,Caption,Source,SourceLink,media/1633404507212.jpg,Caption,Source,SourceLink,media/1633404525349.jpg,media/1633404561448.jpg,
1401,1904A09SMLJ0000000000129440,Kedundung,Spondias dulcis,Pohon Muda,icon/young_tree.svg,Not Defined,34,40,Hutan Adat Kesumbo Ampai,Mineral,Kesumbo Ampai,2.13335861,116.8020715,35.00125592,3.13,Belum,-,-,Irfan S.,5/10/2021 11:13,50000,2028.54,-,"Brown, 1997",media/1633407139610.jpg,Caption,Source,SourceLink,media/1633407153394.jpg,Caption,Source,SourceLink,media/1633407168828.jpg,media/1633407204169.jpg,
